series,transform,test,lag,stat,pvalue,nobs,crit_1,crit_5,crit_10,conclusion
Target_Price,level,ADF,auto,-0.259768169686803,0.9310122451164495,2538,-3.4329291671397715,-2.8626794698418867,-2.567376582654448,Fail_to_reject_unit_root
Target_Price,level,ADF,0,-0.4661177205914341,0.8984605342383505,2560,-3.4329069801374077,-2.862669671881199,-2.5673713661193847,Fail_to_reject_unit_root
Target_Price,level,ADF,1,-0.3818971318659531,0.913077714037188,2559,-3.4329079803530984,-2.862670113586149,-2.5673716012873826,Fail_to_reject_unit_root
Target_Price,level,ADF,2,-0.4121563539376029,0.9080492304356442,2558,-3.4329089813516065,-2.8626705556366505,-2.56737183663938,Fail_to_reject_unit_root
Target_Price,level,ADF,3,-0.34056304659242687,0.919559680647531,2557,-3.432909983133851,-2.862670998033109,-2.5673720721755933,Fail_to_reject_unit_root
Target_Price,level,ADF,4,-0.28609109513588343,0.9274512792614423,2556,-3.4329109857007527,-2.862671440775931,-2.5673723078962385,Fail_to_reject_unit_root
Target_Price,level,ADF,5,-0.2905066914235199,0.9268381487850096,2555,-3.432911989053234,-2.8626718838655236,-2.5673725438015325,Fail_to_reject_unit_root
Target_Price,level,KPSS,auto,7.594443024497538,0.01,2561,0.739,0.463,0.347,Reject_stationarity
Target_Price,level,KPSS,0,232.47993992571207,0.01,2561,0.739,0.463,0.347,Reject_stationarity
Target_Price,level,KPSS,1,116.31475414488953,0.01,2561,0.739,0.463,0.347,Reject_stationarity
Target_Price,level,KPSS,2,77.57960286437967,0.01,2561,0.739,0.463,0.347,Reject_stationarity
Target_Price,level,KPSS,3,58.210178813100875,0.01,2561,0.739,0.463,0.347,Reject_stationarity
Target_Price,level,KPSS,4,46.58777360522615,0.01,2561,0.739,0.463,0.347,Reject_stationarity
Target_Price,level,KPSS,5,38.83923358766013,0.01,2561,0.739,0.463,0.347,Reject_stationarity
Target_Price,diff1,ADF,auto,-10.99673633438967,6.841244190167273e-20,2538,-3.4329291671397715,-2.8626794698418867,-2.567376582654448,Reject_unit_root
Target_Price,diff1,ADF,0,-54.71569160787208,0.0,2559,-3.4329079803530984,-2.862670113586149,-2.5673716012873826,Reject_unit_root
Target_Price,diff1,ADF,1,-36.06418303044668,0.0,2558,-3.4329089813516065,-2.8626705556366505,-2.56737183663938,Reject_unit_root
Target_Price,diff1,ADF,2,-31.18690395418453,0.0,2557,-3.432909983133851,-2.862670998033109,-2.5673720721755933,Reject_unit_root
Target_Price,diff1,ADF,3,-27.732574900335454,0.0,2556,-3.4329109857007527,-2.862671440775931,-2.5673723078962385,Reject_unit_root
Target_Price,diff1,ADF,4,-24.203590678038523,0.0,2555,-3.432911989053234,-2.8626718838655236,-2.5673725438015325,Reject_unit_root
Target_Price,diff1,ADF,5,-21.974747938540613,0.0,2554,-3.4329129931922178,-2.862672327302294,-2.5673727798916928,Reject_unit_root
Target_Price,diff1,KPSS,auto,0.07756998134182629,0.1,2560,0.739,0.463,0.347,Do_not_reject_stationarity
Target_Price,diff1,KPSS,0,0.060960621494199646,0.1,2560,0.739,0.463,0.347,Do_not_reject_stationarity
Target_Price,diff1,KPSS,1,0.06626203228209997,0.1,2560,0.739,0.463,0.347,Do_not_reject_stationarity
Target_Price,diff1,KPSS,2,0.06651266993914765,0.1,2560,0.739,0.463,0.347,Do_not_reject_stationarity
Target_Price,diff1,KPSS,3,0.06909684121576337,0.1,2560,0.739,0.463,0.347,Do_not_reject_stationarity
Target_Price,diff1,KPSS,4,0.07188493598192947,0.1,2560,0.739,0.463,0.347,Do_not_reject_stationarity
Target_Price,diff1,KPSS,5,0.07369628583612772,0.1,2560,0.739,0.463,0.347,Do_not_reject_stationarity
