model_1,model_2,DM_stat,p_value,n_obs
ARIMA,LSTM_VIX_TUNED,-8.711340100549311,0.0,1060
LSTM_VIX_TUNED,SARIMA,8.69122370793961,0.0,1060
LSTM_VIX,LSTM_VIX_TUNED,-11.624329190650299,0.0,513
LSTM_HYBRID,LSTM_VIX_TUNED,-9.598263250416013,0.0,2421
LSTM_Plain,LSTM_VIX_TUNED,-8.081748793927071,6.661338147750939e-16,513
ARIMA,LSTM_PLAIN_TUNED,-6.587197297750175,4.482059168253727e-11,1060
LSTM_PLAIN_TUNED,SARIMA,6.533713756264215,6.415845632545825e-11,1060
LSTM_PLAIN_TUNED,LSTM_VIX_TUNED,-6.087119718264772,1.1496001928179567e-09,2521
LSTM_Plain,LSTM_PLAIN_TUNED,-5.332057893175661,9.710596771128621e-08,513
LSTM_HYBRID,LSTM_PLAIN_TUNED,-5.291513492686227,1.2130823878742092e-07,2421
LSTM_PLAIN_TUNED,LSTM_VIX,3.9096788099480144,9.241892331002255e-05,513
ARIMA,LSTM_VIX,-3.853490277783104,0.0001164458892852771,513
LSTM_VIX,SARIMA,3.8194122673735778,0.00013377002640524438,513
ARIMA,LSTM_Plain,-3.6611392358699835,0.0002510962460928745,513
LSTM_Plain,SARIMA,3.622311099878584,0.00029198266970320574,513
LSTM_HYBRID,LSTM_VIX,-3.2293285070014024,0.0012408127446046358,513
LSTM_HYBRID,LSTM_Plain,-1.6130949688253586,0.1067238767591785,513
LSTM_PLAIN_TUNED,SARIMA_VIX,1.233191621284783,0.21750428065008354,53
LSTM_VIX,SARIMA_VIX,-1.0091611815354056,0.3128973400490187,53
ARIMA,LSTM_HYBRID,-0.9960380298153368,0.3192316677099125,1060
LSTM_HYBRID,SARIMA,0.9551897998960774,0.33948172310167,1060
LSTM_VIX_TUNED,SARIMA_VIX,0.8719172774802966,0.38325350743228004,53
LSTM_Plain,LSTM_VIX,-0.8543929802194009,0.39288728413098895,513
SARIMA,SARIMA_VIX,0.7587633699954547,0.4479941213238692,53
ARIMA,SARIMA_VIX,0.560108215317347,0.575405627178208,53
LSTM_HYBRID,SARIMA_VIX,-0.47077380417401476,0.6378022732441513,53
ARIMA,SARIMA,-0.3377559131728536,0.73554713555479,1060
LSTM_Plain,SARIMA_VIX,-0.04309568746378151,0.9656252570127426,53
